,Name,Domain,Year founded,Industry,Size range,Locality,Linkedin url,Current employee estimate,Total employee estimate
1996,Lorrin,EU,1996,ESUD,174.68.56.193,PO Box 35770,87.31.191.181,83,83
1994,Orly,NA,1994,PALP,165.209.133.16,PO Box 82026,157.128.96.67,6,80
1996,Martguerita,NA,1996,CYCE,91.113.163.73,Apt 420,142.159.32.31,23,32
2006,Cherida,AS,2006,RPMV,162.24.137.57,Room 330,203.206.214.209,81,35
2009,Darwin,AS,2009,RJNW,41.205.148.216,PO Box 13887,77.148.94.8,4,76
2006,Herb,NA,2006,KCRT,25.211.10.132,PO Box 75319,231.222.245.210,45,37
2006,Alicia,NA,2006,KSVH,74.75.252.161,PO Box 76347,62.122.89.171,77,71
1985,Avery,AF,1985,GAGM,112.213.220.118,Room 384,213.28.24.144,56,9
2008,Rhett,EU,2008,LIMF,176.195.167.242,PO Box 28336,225.111.234.10,63,29
1997,Oren,NA,1997,3AK5,62.127.222.33,Suite 62,73.15.130.215,34,51
2005,Prentiss,AF,2005,FCOS,227.234.95.225,Suite 92,117.154.61.197,25,71
1965,Gerry,NA,1965,,246.234.106.38,Apt 1897,79.210.223.0,62,99
1993,Cara,NA,1993,KVLA,205.208.217.170,Room 1185,183.72.144.48,62,34
2000,Sylvan,SA,2000,SBPB,157.186.87.249,PO Box 10065,138.211.209.2,87,19
1986,Tony,NA,1986,KSKY,250.15.248.95,Room 1002,75.225.97.170,73,56
2004,Damita,OC,2004,,250.252.156.71,12th Floor,16.188.134.99,30,94
2007,Kerianne,NA,2007,KRDU,215.104.71.71,Suite 99,248.72.176.202,1,13
1991,Rancell,NA,1991,CSB2,148.78.160.224,PO Box 38363,57.120.244.32,24,92
1992,Sanders,AS,1992,VCBI,72.18.122.130,Room 1705,183.9.85.59,70,95
1993,Pasquale,OC,1993,AGVH,46.243.103.219,Apt 1694,193.234.163.224,63,27
1995,Perren,NA,1995,KGIC,181.66.178.230,3rd Floor,243.168.217.248,49,73
2003,Beatriz,NA,2003,KDVN,81.38.162.175,Apt 1646,21.186.145.76,12,31
2011,Ricki,NA,2011,PAWG,32.3.6.233,PO Box 17665,99.16.220.8,76,31
2009,Thornie,EU,2009,URMO,165.252.66.51,Apt 1441,104.182.57.214,49,79
